word	word.ipa	freq.count
you	j ʉː	2134713
the	d̪ ə	1501908
to	tʰ ʊ	1156570
s	ɛ s	1057301
a	ə	1041179
it	ɪ t	963712
t	tʲ iː	733338
that	ð æ t	719677
and	æ n	682780
of	ə v	590439
what	w ɐ ʔ	501965
in	ɪ n	498444
me	mʲ i	471339
is	ɪ z	459663
we	w iː	459607
this	d̪ ɪ s	406915
he	ç iː	389497
on	ɑ n	354742
for	f ɚ	351650
my	m ɑ	344899
m	ɛ m	343245
your	j ɚ	328715
don	d ɑ n	321085
have	h æ v	314232
do	d ʉː	312915
re	ɹ iː	311072
no	n ow	304549
be	bʲ i	293085
know	n ow	291780
was	w ɑ z	288391
not	n ɑ ʔ	276673
can	cʰ æ n	267620
are	ɑ ɹ	265672
all	ɑː ɫ	263255
with	w ɪ θ	257465
just	dʒ ɐ s t	242206
get	ɟ ɪ t	233772
here	ç ɪ ɹ	230788
but	b ɐ t	225291
ll	ɛ ɫ ɛ ɫ	224097
there	ð ɛ ɹ	221754
so	s ow	216452
they	ð ej	209250
right	ɹ aj t	204428
like	l aj k	203947
out	aw t	197131
go	ɡ ow	193445
she	ʃ i	190377
up	ɐ p	187170
about	b aw t	185206
if	ɪ f	180610
him	ç ɪ m	177710
got	ɡ ɑ t	168631
oh	ow	167781
at	æ t	164072
now	n aw	163333
come	kʰ ɐ m	160190
one	w ɐ n	156684
how	h aw	155867
well	w ɛ ɫ	152523
yeah	j æ	152262
her	h ɝ	144627
want	w ɒ n t	140718
think	θ ɪ ŋ k	137261
good	ɡ ʊ d	133117
see	s iː	130393
let	l ɛ	123381
did	dʲ ɪ d	119410
why	w aj	114687
who	ç ʉː	113370
as	ej z	113068
his	ç ɪ z	108364
will	w ə ɫ	108306
going	ɡ ow ɪ n	108288
from	f ɹ ə m	103992
when	w ɛ n	103739
back	b æ k	102467
okay	ow cʰ ej	102320
yes	j ɛ s	101835
gonna	ɡ ɐ n ə	101804
d	dʲ iː	101335
time	tʰ aj m	99890
look	l ʊ k	99311
take	tʰ ej k	96443
an	ə n	95071
man	m æ n	94133
where	w ɛ ɹ	93341
them	ð ɛ m	90720
would	w ʊ d	90162
been	b ɛ n	88573
some	s ɐ m	88089
hey	ç ej	88079
tell	tʰ ɛ ɫ	87949
or	ɚ	86970
us	ɐ s	86478
had	h æ d	85472
were	w ɚ	84804
say	s ej	83629
could	kʰ ʊ d	83109
really	ɹ ɪ ʎ i	76508
something	s ɐ m θ ɪ n	76508
down	d aw n	76004
then	ð ɪ n	75966
little	ʎ ɪ t ɫ̩	73766
way	w ej	72661
our	ɑ ɹ	71425
make	m ej k	70775
too	tʰ ʉ	69950
never	n ɛ v ɚ	69490
by	b aj	68364
over	ow v ɚ	67488
more	m ɒː ɹ	66228
need	ɲ iː d	66040
mean	mʲ iː n	63443
very	v ɛ ɹ i	63304
off	ɑ f	60155
sorry	s ɑ ɹ i	59566
give	ɟ ɪ v	59559
has	h æ z	57830
thank	t̪ æ ŋ k	56877
love	l ɐ v	56864
said	s ɛ d	56531
am	æ m	56438
people	pʰ i p ɫ̩	56252
please	pʲ ʎ i z	56149
sure	ʃ ʊ ɹ	56091
any	ɛ ɲ i	56068
thing	θ ɪ n	55522
only	ow ɲ ʎ i	55269
because	bʲ i kʰ ɑ z	54622
two	tʰ ʉ	54384
should	ʃ ʊ ɾ	54159
doing	d ʉː ɪ n	52492
much	m ɐ tʃ	49636
sir	s ɝ	49188
maybe	m ej bʲ i	47249
help	h ɛ ɫ p	46977
anything	ɛ ɲ i θ ɪ n	46270
these	d̪ iː z	46104
god	ɡ ɑ d	46061
even	iː v ə n	44672
night	n aj ʔ	44168
call	kʰ ɒ ɫ	43931
talk	tʰ ɑ k	43605
nothing	n ɐ θ ɪ n	43534
into	ɪ n tʰ ʉ	43074
first	f ɝ s	42869
find	f aj n	42379
wait	w ej ʔ	42343
put	pʰ ʊ t	42251
great	ɟ ɹ ej t	41864
thought	θ ɑː ʔ	41232
day	d ej	40893
work	w ɝ k	40699
life	l aj f	40629
before	bʲ i f ɒ ɹ	40501
better	b ɛ ɾ ɚ	40494
again	ə ɡ ɛ n	40428
still	s tʲ ɪ ɫ	40225
home	h ow m	39491
guy	ɟ aj	38893
won	w ɐ n	38729
those	ð ow z	38404
than	d̪ ə n	37679
around	ɹ aw n	37573
other	ɐ ð ɚ	37505
away	ə w ej	37276
new	ɲ ʉː	36913
last	l æ s	36878
uh	ɐ	36579
ever	ɛ v ɚ	36170
stop	s t ɑ p	36071
keep	cʰ iː p	35846
told	tʰ ow ɫ d	35679
must	m ɐ s t	35661
things	θ ɪ ŋ z	35337
big	bʲ ɪ ɡ	34824
after	æ f t ɚ	34812
long	l ɑ ŋ	34433
does	d ɐ z	34002
always	ɑː ɫ w ej z	33418
their	d̪ ɛ ɹ	33413
everything	ɛ v ɹ i θ ɪ n	33399
nice	n aj s	33125
name	ɲ ej m	32735
money	m ɐ ɲ i	32679
guys	ɟ aj z	32198
feel	fʲ ɪ ɫ	31989
believe	bʲ ɪ ʎ iː v	31882
thanks	θ æ ŋ k s	31789
old	ow ɫ d	31056
place	p l ej s	30736
fine	f aj n	30502
kind	cʰ aj n	30125
hello	h ɛ l ow	29857
lot	l ɑ	29066
years	j ɪ ɹ z	29003
made	m ej d	28626
leave	ʎ i v	28596
hi	h aj	28464
girl	ɡ ɝ ɫ	28413
hear	ç ɪ ɹ	28323
father	f ɑ d̪ ɚ	28279
through	θ ɹ ʉː	28026
every	ɛ v ə ɹ i	28007
bad	b æ ɾ	27804
listen	ʎ ɪ s ə n	27784
remember	m ɛ m ɚ	27666
three	θ ɹ iː	27654
boy	b ɔj	27021
coming	kʰ ɐ mʲ ɪ n	26878
wrong	ɹ ɒ ŋ	26678
might	m aj t	26334
stay	s t ej	26298
house	h aw s	26214
may	m ej	26080
baby	b ej bʲ i	25978
another	ə n ɐ d̪ ɚ	25970
dad	d æ d	25870
gotta	ɡ ɑ t ə	25852
wanna	w ɑ n ə	25796
wanted	w ɑ ɾ̃ ɪ d	25616
enough	ə n ɐ f	25568
talking	tʰ ɑ c ɪ n	25385
happened	h æ p n̩	24994
show	ʃ ow	24906
course	kʰ ɒ ɹ s	24848
being	bʲ iː ɪ n	24781
care	cʰ ɛ ɹ	24748
done	d ɐ n	24737
getting	ɡ ɛ ɾʲ ɪ n	24719
mind	m aj n	24715
left	l ɛ f t	24707
ask	æ s k	24640
car	kʰ ɑ ɹ	24636
understand	ɐ n ɚ s t æ n	24605
mother	m ɐ ð ɚ	24476
which	w ɪ tʃ	24339
try	t ɹ aj	24314
shit	ʃ ɪ t	24207
hell	h ɛ ɫ	24012
miss	mʲ ɪ s	23850
came	cʰ ej m	23650
own	ow n	23419
world	w ɝ ɫ d	23216
guess	ɡ ɛ s	23153
next	n ɛ k s	23090
kill	cʰ ɪ ɫ	23081
else	ɛ ɫ s	22907
dead	d ɛ ɾ	22898
trying	t ɹ aj ɪ n	22849
someone	s ɐ m w ɐ n	22752
real	ɹ ɪ ɫ	22583
room	ɹ ʉ m	22415
morning	m ɒ ɹ ɲ ɪ ŋ	22389
huh	h ə	22350
hold	h ow ɫ d	22273
woman	w ʊ m ə n	22166
yourself	j ɚ s ɛ ɫ f	22151
today	tʰ ə d ej	22124
looking	l ʊ c ɪ n	22066
mom	m ɑː m	21950
friend	f ɹ ɛ n	21384
move	m ʉː v	21325
same	s ej m	21276
job	dʒ ɑ b	21063
tonight	tʰ ə n aj ʔ	21047
went	w ɛ n t	20987
son	s ɐ n	20949
best	b ɛ s t	20623
saw	s ɑ	20527
found	f aw n	20196
pretty	p ɹ ɪ ɾʲ i	20003
ready	ɹ ɛ dʲ i	19778
heard	h ɝ ɾ	19775
whole	h ow ɫ	19660
seen	s iː n	19633
together	tʰ ʊ ɡ ɛ ð ɚ	19553
fuck	f ɐ k	19307
